Ethnic Group	Ethnicity	Text	Year	Position	Total Students
American Indian/Alaska Native	Alaskan	Ethnicities at Duke	1/1/12	Point	1
American Indian/Alaska Native	Alaskan	Ethnicities at Duke	1/1/13	Point	2
American Indian/Alaska Native	Alaskan	Ethnicities at Duke	1/1/14	Point	3
American Indian/Alaska Native	Alaskan	Ethnicities at Duke	1/1/15	Point	1
American Indian/Alaska Native	Alaskan	Ethnicities at Duke	1/1/16	Point	3
American Indian/Alaska Native	Alaskan	Ethnicities at Duke	1/1/17	Point	4
American Indian/Alaska Native	Alaskan	Ethnicities at Duke	1/1/18	Point	3
American Indian/Alaska Native	Alaskan	Ethnicities at Duke	1/1/19	Point	2
American Indian/Alaska Native	Alaskan	Ethnicities at Duke	1/1/20	Point	1
American Indian/Alaska Native	Aleut	Ethnicities at Duke	1/1/19	Point	1
American Indian/Alaska Native	Aleut	Ethnicities at Duke	1/1/20	Point	1
American Indian/Alaska Native	American Indian	Ethnicities at Duke	1/1/12	Point	105
American Indian/Alaska Native	American Indian	Ethnicities at Duke	1/1/13	Point	112
American Indian/Alaska Native	American Indian	Ethnicities at Duke	1/1/14	Point	131
American Indian/Alaska Native	American Indian	Ethnicities at Duke	1/1/15	Point	124
American Indian/Alaska Native	American Indian	Ethnicities at Duke	1/1/16	Point	145
American Indian/Alaska Native	American Indian	Ethnicities at Duke	1/1/17	Point	141
American Indian/Alaska Native	American Indian	Ethnicities at Duke	1/1/18	Point	152
American Indian/Alaska Native	American Indian	Ethnicities at Duke	1/1/19	Point	162
American Indian/Alaska Native	American Indian	Ethnicities at Duke	1/1/20	Point	169
American Indian/Alaska Native	American Indian	Ethnicities at Duke	1/1/21	Point	182
American Indian/Alaska Native	American Indian	Ethnicities at Duke	1/1/22	Point	203
American Indian/Alaska Native	American Indian	Ethnicities at Duke	1/1/23	Point	189
American Indian/Alaska Native	Apache	Ethnicities at Duke	1/1/16	Point	1
American Indian/Alaska Native	Apache	Ethnicities at Duke	1/1/17	Point	1
American Indian/Alaska Native	Apache	Ethnicities at Duke	1/1/18	Point	1
American Indian/Alaska Native	Apache	Ethnicities at Duke	1/1/22	Point	1
American Indian/Alaska Native	Apache	Ethnicities at Duke	1/1/23	Point	1
American Indian/Alaska Native	Blackfoot	Ethnicities at Duke	1/1/12	Point	2
American Indian/Alaska Native	Blackfoot	Ethnicities at Duke	1/1/14	Point	4
American Indian/Alaska Native	Blackfoot	Ethnicities at Duke	1/1/15	Point	5
American Indian/Alaska Native	Blackfoot	Ethnicities at Duke	1/1/16	Point	5
American Indian/Alaska Native	Blackfoot	Ethnicities at Duke	1/1/17	Point	5
American Indian/Alaska Native	Blackfoot	Ethnicities at Duke	1/1/18	Point	4
American Indian/Alaska Native	Blackfoot	Ethnicities at Duke	1/1/19	Point	4
American Indian/Alaska Native	Blackfoot	Ethnicities at Duke	1/1/20	Point	1
American Indian/Alaska Native	Blackfoot	Ethnicities at Duke	1/1/21	Point	1
American Indian/Alaska Native	Blackfoot	Ethnicities at Duke	1/1/22	Point	1
American Indian/Alaska Native	Blackfoot	Ethnicities at Duke	1/1/23	Point	1
American Indian/Alaska Native	Cayuga	Ethnicities at Duke	1/1/12	Point	1
American Indian/Alaska Native	Cherokee	Ethnicities at Duke	1/1/12	Point	46
American Indian/Alaska Native	Cherokee	Ethnicities at Duke	1/1/13	Point	47
American Indian/Alaska Native	Cherokee	Ethnicities at Duke	1/1/14	Point	43
American Indian/Alaska Native	Cherokee	Ethnicities at Duke	1/1/15	Point	46
American Indian/Alaska Native	Cherokee	Ethnicities at Duke	1/1/16	Point	44
American Indian/Alaska Native	Cherokee	Ethnicities at Duke	1/1/17	Point	41
American Indian/Alaska Native	Cherokee	Ethnicities at Duke	1/1/18	Point	49
American Indian/Alaska Native	Cherokee	Ethnicities at Duke	1/1/19	Point	48
American Indian/Alaska Native	Cherokee	Ethnicities at Duke	1/1/20	Point	38
American Indian/Alaska Native	Cherokee	Ethnicities at Duke	1/1/21	Point	32
American Indian/Alaska Native	Cherokee	Ethnicities at Duke	1/1/22	Point	32
American Indian/Alaska Native	Cherokee	Ethnicities at Duke	1/1/23	Point	19
American Indian/Alaska Native	Chickasaw	Ethnicities at Duke	1/1/12	Point	1
American Indian/Alaska Native	Chickasaw	Ethnicities at Duke	1/1/13	Point	1
American Indian/Alaska Native	Chickasaw	Ethnicities at Duke	1/1/16	Point	1
American Indian/Alaska Native	Chickasaw	Ethnicities at Duke	1/1/17	Point	2
American Indian/Alaska Native	Chickasaw	Ethnicities at Duke	1/1/18	Point	1
American Indian/Alaska Native	Chickasaw	Ethnicities at Duke	1/1/19	Point	2
American Indian/Alaska Native	Chickasaw	Ethnicities at Duke	1/1/20	Point	3
American Indian/Alaska Native	Chickasaw	Ethnicities at Duke	1/1/21	Point	4
American Indian/Alaska Native	Chickasaw	Ethnicities at Duke	1/1/22	Point	5
American Indian/Alaska Native	Chickasaw	Ethnicities at Duke	1/1/23	Point	6
American Indian/Alaska Native	Chippewa	Ethnicities at Duke	1/1/12	Point	1
American Indian/Alaska Native	Chippewa	Ethnicities at Duke	1/1/13	Point	2
American Indian/Alaska Native	Chippewa	Ethnicities at Duke	1/1/14	Point	2
American Indian/Alaska Native	Chippewa	Ethnicities at Duke	1/1/15	Point	1
American Indian/Alaska Native	Chippewa	Ethnicities at Duke	1/1/16	Point	1
American Indian/Alaska Native	Chippewa	Ethnicities at Duke	1/1/17	Point	3
American Indian/Alaska Native	Chippewa	Ethnicities at Duke	1/1/18	Point	4
American Indian/Alaska Native	Chippewa	Ethnicities at Duke	1/1/19	Point	4
American Indian/Alaska Native	Chippewa	Ethnicities at Duke	1/1/20	Point	4
American Indian/Alaska Native	Chippewa	Ethnicities at Duke	1/1/21	Point	2
American Indian/Alaska Native	Chippewa	Ethnicities at Duke	1/1/22	Point	2
American Indian/Alaska Native	Chippewa	Ethnicities at Duke	1/1/23	Point	1
American Indian/Alaska Native	Choctaw	Ethnicities at Duke	1/1/12	Point	10
American Indian/Alaska Native	Choctaw	Ethnicities at Duke	1/1/13	Point	10
American Indian/Alaska Native	Choctaw	Ethnicities at Duke	1/1/14	Point	17
American Indian/Alaska Native	Choctaw	Ethnicities at Duke	1/1/15	Point	16
American Indian/Alaska Native	Choctaw	Ethnicities at Duke	1/1/16	Point	17
American Indian/Alaska Native	Choctaw	Ethnicities at Duke	1/1/17	Point	17
American Indian/Alaska Native	Choctaw	Ethnicities at Duke	1/1/18	Point	14
American Indian/Alaska Native	Choctaw	Ethnicities at Duke	1/1/19	Point	9
American Indian/Alaska Native	Choctaw	Ethnicities at Duke	1/1/20	Point	14
American Indian/Alaska Native	Choctaw	Ethnicities at Duke	1/1/21	Point	10
American Indian/Alaska Native	Choctaw	Ethnicities at Duke	1/1/22	Point	10
American Indian/Alaska Native	Choctaw	Ethnicities at Duke	1/1/23	Point	8
American Indian/Alaska Native	Comanche	Ethnicities at Duke	1/1/12	Point	2
American Indian/Alaska Native	Comanche	Ethnicities at Duke	1/1/14	Point	1
American Indian/Alaska Native	Comanche	Ethnicities at Duke	1/1/15	Point	1
American Indian/Alaska Native	Comanche	Ethnicities at Duke	1/1/16	Point	1
American Indian/Alaska Native	Comanche	Ethnicities at Duke	1/1/17	Point	1
American Indian/Alaska Native	Comanche	Ethnicities at Duke	1/1/18	Point	1
American Indian/Alaska Native	Comanche	Ethnicities at Duke	1/1/19	Point	1
American Indian/Alaska Native	Creek	Ethnicities at Duke	1/1/12	Point	1
American Indian/Alaska Native	Creek	Ethnicities at Duke	1/1/13	Point	1
American Indian/Alaska Native	Creek	Ethnicities at Duke	1/1/15	Point	3
American Indian/Alaska Native	Creek	Ethnicities at Duke	1/1/16	Point	3
American Indian/Alaska Native	Creek	Ethnicities at Duke	1/1/17	Point	3
American Indian/Alaska Native	Creek	Ethnicities at Duke	1/1/18	Point	5
American Indian/Alaska Native	Creek	Ethnicities at Duke	1/1/19	Point	2
American Indian/Alaska Native	Creek	Ethnicities at Duke	1/1/20	Point	2
American Indian/Alaska Native	Creek	Ethnicities at Duke	1/1/21	Point	1
American Indian/Alaska Native	Creek	Ethnicities at Duke	1/1/22	Point	1
American Indian/Alaska Native	Creek	Ethnicities at Duke	1/1/23	Point	1
American Indian/Alaska Native	Delaware	Ethnicities at Duke	1/1/13	Point	1
American Indian/Alaska Native	Delaware	Ethnicities at Duke	1/1/14	Point	1
American Indian/Alaska Native	Delaware	Ethnicities at Duke	1/1/15	Point	1
American Indian/Alaska Native	Delaware	Ethnicities at Duke	1/1/16	Point	1
American Indian/Alaska Native	Delaware	Ethnicities at Duke	1/1/17	Point	1
American Indian/Alaska Native	Delaware	Ethnicities at Duke	1/1/18	Point	1
